Method,Year,Source,Backbone,GridType,Scenario,DOI,CodeURL
DPUF,2019,J.FluidMech.,CNN,3.1.1OnRegularGrids,CylinderFlow,https://doi.org/10.1000/DPUF,https://github.com/example/DPUF
TF-Net,2020,KDD2020,CNN,3.1.1OnRegularGrids,Turbulentflow,https://doi.org/10.1000/TF-Net,https://github.com/example/TF-Net
EquNet,2021,ICLR2021,CNN,3.1.1OnRegularGrids,"Rayleigh-Bénard;Oceans;Heat",https://doi.org/10.1000/EquNet,https://github.com/example/EquNet
RSteer,2022,ICML2022,CNN,3.1.1OnRegularGrids,smoke,https://doi.org/10.1000/RSteer,https://github.com/example/RSteer
GNS,2020,ICML2020,GNN,3.1.2OnIrregularMesh,Variousmaterials,https://doi.org/10.1000/GNS,https://github.com/example/GNS
MGN,2021,ICLR2021,GNN,3.1.2OnIrregularMesh,"CylinderFlow;Transonic",https://doi.org/10.1000/MGN,https://github.com/example/MGN
MP-PDE,2022,ICLR2022,GNN,3.1.2OnIrregularMesh,"Burgers;Wave;Navier-Stokes",https://doi.org/10.1000/MP-PDE,https://github.com/example/MP-PDE
Hanetal.,2022,ICLR2022,"GNN/Transformer",3.1.2OnIrregularMesh,"CylinderFlow;Transonic",https://doi.org/10.1000/Hanetal,https://github.com/example/Hanetal
TIE,2022,ECCV2022,Transformer,3.1.2OnIrregularMesh,"FluidFall;FluidShake",https://doi.org/10.1000/TIE,https://github.com/example/TIE
MAgNet,2022,NeurIPS2022,"GNN/CNN",3.1.2OnIrregularMesh,Burgers,https://doi.org/10.1000/MAgNet,https://github.com/example/MAgNet
GNODE,2023,ICLR2023,GNN,3.1.2OnIrregularMesh,"N-pendulums;Spring",https://doi.org/10.1000/GNODE,https://github.com/example/GNODE
FCN,2022,PHYSFLUIDS.,GNN,3.1.2OnIrregularMesh,Navier-Stokes,https://doi.org/10.1000/FCN,https://github.com/example/FCN
Zhaoetal.,2023,Arxiv2023,GNN,3.1.2OnIrregularMesh,Navier-Stokes,https://doi.org/10.1000/Zhaoetal,https://github.com/example/Zhaoetal
DINo,2023,ICLR2023,FourierNet,3.1.2OnIrregularMesh,"Wave;Navier-Stokes;ShallowWater",https://doi.org/10.1000/DINo,https://github.com/example/DINo
LAMP,2023,ICLR2023,GNN,3.1.2OnIrregularMesh,"NonlinearPDE;Mesh",https://doi.org/10.1000/LAMP,https://github.com/example/LAMP
CARE,2023,NeurIPS2023,GNN,3.1.2OnIrregularMesh,"CylinderFlow;Particle",https://doi.org/10.1000/CARE,https://github.com/example/CARE
BENO,2024,ICLR2024,"GNN/Transformer",3.1.2OnIrregularMesh,Poisson,https://doi.org/10.1000/BENO,https://github.com/example/BENO
HAMLET,2024,Arxiv2024,"GNN/Transformer",3.1.2OnIrregularMesh,"ShallowWater;Darcy;Diffusion;Airfoil",https://doi.org/10.1000/HAMLET,https://github.com/example/HAMLET
CC,2020,ICLR2020,CNN,3.1.3OnLagrangianParticles,"Particles;DamBreak",https://doi.org/10.1000/CC,https://github.com/example/CC
Wesselsetal.,2021,ComputMethodApplM,MLP,3.1.3OnLagrangianParticles,DamBreak,https://doi.org/10.1000/Wesselsetal,https://github.com/example/Wesselsetal
FGN,2022,ComputGraph,GNN,3.1.3OnLagrangianParticles,Particles,https://doi.org/10.1000/FGN,https://github.com/example/FGN
MCC,2023,AAAI2023,CNN,3.1.3OnLagrangianParticles,DamBreak,https://doi.org/10.1000/MCC,https://github.com/example/MCC
LFlows,2024,ICLR2024,Bijectivelayer,3.1.3OnLagrangianParticles,Birdmigration,https://doi.org/10.1000/LFlows,https://github.com/example/LFlows
Lietal.,2023,Nat.Mach.Intell.,Diffusion,3.1.3OnLagrangianParticles,3DNavier-Stokes,https://doi.org/10.1000/Lietal,https://github.com/example/Lietal
DeepONet,2021,Nat.Mach.Intell.,MLP,3.2.1DeepOperatorNetwork,"Reaction–Diffusion;otherODEs",https://doi.org/10.1000/DeepONet,https://github.com/example/DeepONet
PI-DeepONet,2022,Sci.Advection,MLP,3.2.1DeepOperatorNetwork,"Anti-Derivative;Reaction–Diffusion;Burgers;Eikonal;Transonic",https://doi.org/10.1000/PI-DeepONet,https://github.com/example/PI-DeepONet
MIONet,2022,SiamJSciComput,MLP,3.2.1DeepOperatorNetwork,"ODE;Anti-Derivative;Reaction–Diffusion",https://doi.org/10.1000/MIONet,https://github.com/example/MIONet
Fourier-MIONet,2023,Arxiv2023,MLP,3.2.1DeepOperatorNetwork,Gassaturation,https://doi.org/10.1000/Fourier-MIONet,https://github.com/example/Fourier-MIONet
NOMAD,2022,NeurIPS2022,MLP,3.2.1DeepOperatorNetwork,"Advection;ShallowWater;Anti-Derivative",https://doi.org/10.1000/NOMAD,https://github.com/example/NOMAD
Shift-DeepONet,2023,ICLR2023,MLP,3.2.1DeepOperatorNetwork,"Advection;Burgers;Euler",https://doi.org/10.1000/Shift-DeepONet,https://github.com/example/Shift-DeepONet
HyperDeepONet,2023,ICLR2023,MLP,3.2.1DeepOperatorNetwork,"Advection;Burgers;ShallowWater",https://doi.org/10.1000/HyperDeepONet,https://github.com/example/HyperDeepONet
B-DeepONet,2022,J.Comput.Phy.,MLP,3.2.1DeepOperatorNetwork,"Anti-Derivative;Reaction–Diffusion;Advection",https://doi.org/10.1000/B-DeepONet,https://github.com/example/B-DeepONet
SVD-DeepONet,2021,ComputMethodApplM,MLP,3.2.1DeepOperatorNetwork,ODEs,https://doi.org/10.1000/SVD-DeepONet,https://github.com/example/SVD-DeepONet
L-DeepONet,2023,Arxiv2023,MLP,3.2.1DeepOperatorNetwork,"Rayleigh-Bénard;ShallowWater",https://doi.org/10.1000/L-DeepONet,https://github.com/example/L-DeepONet
MGNO,2020,NeurIPS2020,GNN,3.2.2InPhysicalSpace,"Darcy;Burgers",https://doi.org/10.1000/MGNO,https://github.com/example/MGNO
Genevaetal.,2021,NeuralNetworks,Transformer,3.2.2InPhysicalSpace,"Navier-Stokes;Lorenz",https://doi.org/10.1000/Genevaetal,https://github.com/example/Genevaetal
GNOT,2023,ICML2023,Transformer,3.2.2InPhysicalSpace,"Transonic;Elastodynamic;Navier-Stokes;Darcy",https://doi.org/10.1000/GNOT,https://github.com/example/GNOT
CNO,2023,NeurIPS2023,CNN,3.2.2InPhysicalSpace,"Poisson;Allen-Cahn;Navier-Stokes;Darcy",https://doi.org/10.1000/CNO,https://github.com/example/CNO
FactFormer,2023,NeurIPS2023,Transformer,3.2.2InPhysicalSpace,"Kolmogorovflow;Smokebuoyancy",https://doi.org/10.1000/FactFormer,https://github.com/example/FactFormer
LNO,2023,Arxiv2023,Laplace,3.2.2InPhysicalSpace,"Diffusion;Duffing;Reaction–Diffusion",https://doi.org/10.1000/LNO,https://github.com/example/LNO
KNO,2023,Arxiv2023,Koopman,3.2.2InPhysicalSpace,"Bateman–Burgers;Navier-Stokes",https://doi.org/10.1000/KNO,https://github.com/example/KNO
ICON,2022,PNAS,Transformer,3.2.2InPhysicalSpace,"Poisson;Reaction–Diffusion;ODEs",https://doi.org/10.1000/ICON,https://github.com/example/ICON
Transolver,2024,ICML2024,Transformer,3.2.2InPhysicalSpace,"CarDesign;Airfoil",https://doi.org/10.1000/Transolver,https://github.com/example/Transolver
FNO,2021,ICLR2021,Fourier,3.2.3InFourierSpace,"Burgers;Darcy;Navier-Stokes",https://doi.org/10.1000/FNO,https://github.com/example/FNO
PINO,2022,ACM/IMSTrans.DataSci.,Fourier,3.2.3InFourierSpace,"Burgers;Darcy;Navier-Stokes;Kolmogorov",https://doi.org/10.1000/PINO,https://github.com/example/PINO
GEO-FNO,2022,JMLR,Fourier,3.2.3InFourierSpace,"Advection;Elastodynamic;Airfoil;Navier-Stokes",https://doi.org/10.1000/GEO-FNO,https://github.com/example/GEO-FNO
U-NO,2023,TMLR,Fourier,3.2.3InFourierSpace,"Darcy;Navier-Stokes",https://doi.org/10.1000/U-NO,https://github.com/example/U-NO
SSNO,2022,IEEEAccess,Fourier,3.2.3InFourierSpace,"Burgers;Darcy;Navier-Stokes",https://doi.org/10.1000/SSNO,https://github.com/example/SSNO
F-FNO,2023,ICLR2023,Fourier,3.2.3InFourierSpace,"Kolmogorov;Transonic",https://doi.org/10.1000/F-FNO,https://github.com/example/F-FNO
CFNO,2023,ICLR2023,Fourier,3.2.3InFourierSpace,"Navier-Stokes;ShallowWater;Maxwell",https://doi.org/10.1000/CFNO,https://github.com/example/CFNO
CMWNO,2023,ICLR2023,Fourier,3.2.3InFourierSpace,Gray-Scott,https://doi.org/10.1000/CMWNO,https://github.com/example/CMWNO
MCNP,2023,Arxiv2023,Fourier,3.2.3InFourierSpace,"Diffusion;Allen-Cahn;Navier-Stokes",https://doi.org/10.1000/MCNP,https://github.com/example/MCNP
G-FNO,2023,ICML2023,Fourier,3.2.3InFourierSpace,"Navier-Stokes;ShallowWater",https://doi.org/10.1000/G-FNO,https://github.com/example/G-FNO
GINO,2023,NeurIPS2023,Fourier,3.2.3InFourierSpace,"Ahmed-Body;ReynoldAveragedNavier-Stokes",https://doi.org/10.1000/GINO,https://github.com/example/GINO
DAFNO,2023,NeurIPS2023,Fourier,3.2.3InFourierSpace,"Hyperelasticity;Airfoil",https://doi.org/10.1000/DAFNO,https://github.com/example/DAFNO
FCG-NO,2024,ICML2024,Fourier,3.2.3InFourierSpace,"Poisson;Diffusion",https://doi.org/10.1000/FCG-NO,https://github.com/example/FCG-NO
